Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory Type,Memory Capacity,GPU_Company,GPU_Type,OpSys,Weight (kg),Price (SAR)
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4,4,HDD,1024,Intel,HD Graphics 620,Windows 10,2.4,1524.48
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,AMD,Radeon 520,Windows 10,2.13,3048.166
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,SSD,128,Intel,HD Graphics 520,Windows 10,1.91,1742.8300000000002
Asus,VivoBook Max,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,SSD,256,Intel,HD Graphics 620,Windows 10,2.0,2327.1743
MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,2304,Nvidia,GeForce GTX 1070,Windows 10,2.43,9722.53
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,SSD,256,Intel,HD Graphics 520,Linux,2.0,1647.5500000000002
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,SSD+HDD,2304,AMD,Radeon 530,Windows 10,2.8,5157.030000000001
Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.7,3489.63
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,2.7,8,SSD,256,Intel,HD Graphics 620,No OS,1.7,2378.03
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.4,3735.77
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.86,2739.3
Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD,512,Nvidia,GeForce GTX 1050 Ti,Windows 10,1.8,7872.51
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,HDD,500,AMD,Radeon 520,Windows 10,1.86,1741.5993
HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3060,1.6,4,SSD,32,Intel,HD Graphics 400,Windows 10,1.44,909.13
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,HDD,1024,Intel,HD Graphics 620,Windows 10,1.9,2179.53
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,12,HDD,1024,Nvidia,GeForce GTX 1050 Ti,Linux,3.0,3767.53
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i5 7200U,2.5,4,SSD,128,Intel,HD Graphics 620,Windows 10 S,1.252,4323.33
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,AMD,Radeon 530,Windows 10,1.4,3791.3500000000004
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,AMD,Radeon 530,Windows 10,2.2,3453.9
MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,2.7,4347.150000000001
Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel,Core i3 6006U,2.0,8,HDD,1024,Intel,HD Graphics 520,Windows 10,2.1,1544.3300000000002
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,HDD,1024,Nvidia,GeForce GTX 1050,Windows 10,2.2,3767.53
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,HDD,2048,Intel,HD Graphics 620,No OS,2.2,2060.4300000000003
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD+HDD,1152,Intel,UHD Graphics 620,Windows 10,2.02,3394.3500000000004
Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7130U,2.7,4,HDD,1024,Nvidia,GeForce MX130,Windows 10,2.2,2104.1
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD+HDD,1152,Nvidia,GeForce 930MX,Windows 10,2.5,3878.69
Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.88,4351.7552000000005
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel,Core i5,1.3,8,SSD,512,Intel,HD Graphics 615,macOS,0.92,5994.700000000001
HP,ProBook 440,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.63,3414.2000000000003
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD,A6-Series 9220,2.5,4,SSD,128,AMD,R4 Graphics,Windows 10,2.2,1584.03
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,A9-Series 9420,3.0,4,HDD,1024,AMD,Radeon R5,Windows 10,2.1,1568.15
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1152,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.65,5355.530000000001
HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Nvidia,GeForce GTX 940MX,Windows 10,1.83,2775.03
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.96,2377.9903
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1152,Nvidia,GeForce GTX 1060,Windows 10,2.2,5752.530000000001
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.21,6546.530000000001
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,AMD,FX 9830P,3.0,8,HDD,1024,AMD,Radeon RX 560,Windows 10,2.45,2775.03
Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,HDD,1024,Nvidia,GeForce MX150,Windows 10,2.2,2735.33
HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,SSD,512,Intel,UHD Graphics 620,Windows 10,1.49,4752.09
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,SSD,256,Nvidia,GeForce GTX 1060,Windows 10,2.65,4744.150000000001
Asus,Zenbook UX430UA,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.25,4164.530000000001
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.5,3362.59
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,HDD,1024,AMD,Radeon R5 M430,Linux,2.2,2381.603
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,SSD,256,AMD,Radeon R5 M430,Linux,2.2,1925.45
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4,6,SSD,256,Nvidia,GeForce 920M,Windows 10,2.0,2290.69
HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,12,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,2.62,4958.530000000001
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,AMD,Radeon 530,Windows 10,1.91,2854.4300000000003
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD,E-Series E2-9000e,1.5,4,HDD,500,AMD,Radeon R2,Windows 10,2.1,1385.53
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,HDD,1024,AMD,Radeon 520,Linux,2.2,2568.59
HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Nvidia,GeForce MX150,Windows 10,1.38,4442.43
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10 S,1.252,5319.8
HP,Pavilion 14-BK001nv,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,6,SSD,256,Nvidia,GeForce 940MX,Windows 10,1.58,2616.23
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,HDD,1024,Intel,HD Graphics 520,Windows 10,1.85,1647.153
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Nvidia,GeForce 940MX,Windows 10,1.3,4736.21
MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.2,5157.030000000001
Lenovo,Thinkpad T470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.58,5875.6
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,SSD+HDD,1280,Nvidia,GeForce MX150,Windows 10,1.5,5010.14
Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel,Core i7 7560U,2.4,8,SSD,256,Intel,Iris Plus Graphics 640,Windows 10,1.23,5474.63
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.37,5554.030000000001
HP,Probook 440,Notebook,14.0,IPS Panel 1366x768,Intel,Core i5 8250U,1.6,4,HDD,500,Intel,UHD Graphics 620,Windows 10,1.63,2866.34
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.21,6467.13
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.26,5553.9903
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,512,Intel,UHD Graphics 620,Windows 10,1.63,4303.4800000000005
Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD+HDD,1280,Nvidia,GeForce 940MX,Windows 10,2.16,4487.4101
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,HDD,1024,Nvidia,GeForce 920MX,Windows 10,2.0,2239.08
Asus,VivoBook S15,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Nvidia,GeForce 940MX,Windows 10,1.7,4438.46
Acer,Spin 3,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i3 7100U,2.4,6,HDD,1024,Intel,HD Graphics 620,Windows 10,2.1,1901.63
MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,2304,Nvidia,GeForce GTX 1070,Windows 10,1.8,8898.755000000001
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Nvidia,GeForce 940MX,No OS,2.2,2497.13
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,SSD,512,Nvidia,GeForce 930MX,Windows 10,2.5,5045.87
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,A9-Series 9420,3.0,4,SSD,256,AMD,Radeon R5,Windows 10,2.1,1790.47
HP,250 G6,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.6,4,HDD,500,Intel,HD Graphics 400,No OS,1.86,1028.23
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,HDD,1024,Intel,UHD Graphics 620,Windows 10,1.63,3223.6400000000003
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,1366x768,AMD,E-Series 6110,1.5,4,SSD,64,AMD,Radeon R2,Windows 10 S,1.65,1103.6203
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,SSD+HDD,2304,AMD,Radeon 530,Windows 10,2.8,5542.12
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,2.5,3684.1600000000003
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,8,HDD,1024,AMD,Radeon R7 M445,Windows 10,2.36,2536.7903
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,HDD,1024,AMD,Radeon R5 M430,Windows 10,2.2,1782.5300000000002
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.6,3509.48
Acer,Aspire A515-51G-37JS,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7130U,2.7,4,SSD,256,Nvidia,GeForce MX130,Windows 10,2.2,2270.84
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,Intel,Core i7 7500U,2.7,8,HDD,1024,Intel,HD Graphics 620,Windows 10,2.05,2374.06
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.63,3922.36
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,HDD,1024,Intel,HD Graphics 500,No OS,1.9,1001.8692000000001
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,3.0,3723.86
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,HDD,1024,Nvidia,GeForce 920MX,No OS,2.2,1981.0300000000002
HP,Envy 13-AD007nv,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,SSD,256,Intel,HD Graphics 620,Windows 10,1.32,2775.03
Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,2.7,4,HDD,1024,Nvidia,GeForce MX130,Windows 10,3.0,2600.35
Lenovo,ThinkPad E480,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,AMD,Radeon RX 550,Windows 10,1.75,4430.5994
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD,256,Nvidia,GeForce GTX 1050M,No OS,2.4,3449.9300000000003
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel,Core i5 6200U,2.3,4,HDD,500,Intel,HD Graphics 520,Windows 10,2.1,2389.94
HP,255 G6,Notebook,15.6,1366x768,AMD,A6-Series 9220,2.5,4,SSD,256,AMD,Radeon R4 Graphics,Windows 10,1.86,1464.93
Asus,ZenBook UX430UA,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.25,4363.030000000001
HP,EliteBook Folio,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core M 6Y75,1.2,8,SSD,512,Intel,HD Graphics 515,Windows 10,0.97,7995.580000000001
