Company,Product,TypeName,Inches,CPU_Frequency (GHz),RAM (GB),Memory Type,Memory Capacity,GPU_Company,GPU_Type,OpSys,Weight (kg),Price (SAR),Resolution_Width,Resolution_Height,Contains_HD,Contains_IPS,Contains_Touchscreen,Contains_4K,Contains_Quad_HD_plus,CPU_Family,CPU_Generation,CPU_Series,GPU_Family,GPU_Series,GPU_Series_Clean,Series_Type,Performance_Tier
Dell,Inspiron 5770,Notebook,17.3,1.8,16,SSD+HDD,2304,AMD,Radeon 530,Windows 10,2.8,5157.030000000001,1920,1080,1,0,0,0,0,Core,8,i7,Radeon,530,530,Numeric,Mid-Range
Dell,Vostro 5471,Ultrabook,14.0,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.7,3489.63,1920,1080,1,0,0,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,2.7,8,SSD,256,Intel,HD Graphics 620,No OS,1.7,2378.03,1920,1080,1,1,0,0,0,Core,7,i3,HD,620,620,Numeric,Mid-Range
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.4,3735.77,1920,1080,1,0,0,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
HP,250 G6,Notebook,15.6,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.86,2739.3,1920,1080,1,0,0,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
Asus,ZenBook Pro,Ultrabook,15.6,2.8,16,SSD,512,Nvidia,GeForce GTX 1050 Ti,Windows 10,1.8,7872.51,1920,1080,1,0,0,0,0,Core,7,i7,GeForce,Ti,640,Alphanumeric,Mid-Range
HP,250 G6,Notebook,15.6,2.0,4,HDD,500,AMD,Radeon 520,Windows 10,1.86,1741.5993,1366,768,0,0,0,0,0,Core,6,i3,Radeon,520,520,Numeric,Mid-Range
HP,Stream 14-AX040wm,Notebook,14.0,1.6,4,SSD,32,Intel,HD Graphics 400,Windows 10,1.44,909.13,1366,768,0,0,0,0,0,Celeron,3,Other,HD,400,400,Numeric,Low-End
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,2.5,4,HDD,1024,Intel,HD Graphics 620,Windows 10,1.9,2179.53,1920,1080,1,0,0,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,2.8,12,HDD,1024,Nvidia,GeForce GTX 1050 Ti,Linux,3.0,3767.53,1920,1080,1,0,0,0,0,Core,7,i7,GeForce,Ti,640,Alphanumeric,Mid-Range
Microsoft,Surface Laptop,Ultrabook,13.5,2.5,4,SSD,128,Intel,HD Graphics 620,Windows 10 S,1.252,4323.33,2256,1504,0,0,1,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
Dell,Inspiron 5370,Ultrabook,13.3,1.8,8,SSD,256,AMD,Radeon 530,Windows 10,1.4,3791.3500000000004,1920,1080,1,1,0,0,0,Core,8,i7,Radeon,530,530,Numeric,Mid-Range
Dell,Inspiron 5570,Notebook,15.6,1.8,8,SSD,256,AMD,Radeon 530,Windows 10,2.2,3453.9,1920,1080,1,0,0,0,0,Core,8,i7,Radeon,530,530,Numeric,Mid-Range
MSI,GL72M 7RDX,Gaming,17.3,2.5,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,2.7,4347.150000000001,1920,1080,1,0,0,0,0,Core,7,i5,GeForce,1050,1050,Numeric,High-End
Acer,Aspire E5-475,Notebook,14.0,2.0,8,HDD,1024,Intel,HD Graphics 520,Windows 10,2.1,1544.3300000000002,1366,768,0,0,0,0,0,Core,6,i3,HD,520,520,Numeric,Mid-Range
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,2.8,8,HDD,1024,Nvidia,GeForce GTX 1050,Windows 10,2.2,3767.53,1920,1080,1,0,0,0,0,Core,7,i7,GeForce,1050,1050,Numeric,High-End
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,2.5,8,HDD,2048,Intel,HD Graphics 620,No OS,2.2,2060.4300000000003,1920,1080,1,0,0,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
Dell,Inspiron 5570,Notebook,15.6,1.8,8,SSD+HDD,1152,Intel,UHD Graphics 620,Windows 10,2.02,3394.3500000000004,1920,1080,1,0,0,0,0,Core,8,i7,UHD,620,620,Numeric,Mid-Range
Acer,Aspire A515-51G-32MX,Notebook,15.6,2.7,4,HDD,1024,Nvidia,GeForce MX130,Windows 10,2.2,2104.1,1920,1080,1,0,0,0,0,Core,7,i3,GeForce,MX130,130,Alphanumeric,Low-End
HP,ProBook 470,Notebook,17.3,1.6,8,SSD+HDD,1152,Nvidia,GeForce 930MX,Windows 10,2.5,3878.69,1920,1080,1,0,0,0,0,Core,8,i5,GeForce,930MX,930,Alphanumeric,High-End
Dell,Latitude 5590,Ultrabook,15.6,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.88,4351.7552000000005,1920,1080,1,1,0,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
Apple,"MacBook 12""",Ultrabook,12.0,1.3,8,SSD,512,Intel,HD Graphics 615,macOS,0.92,5994.700000000001,2304,1440,0,1,0,0,0,Core,7,i5,HD,615,615,Numeric,Mid-Range
HP,ProBook 440,Notebook,14.0,1.6,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.63,3414.2000000000003,1920,1080,1,0,0,0,0,Core,8,i5,HD,620,620,Numeric,Mid-Range
Lenovo,IdeaPad 320-15AST,Notebook,15.6,2.5,4,SSD,128,AMD,R4 Graphics,Windows 10,2.2,1584.03,1920,1080,1,0,0,0,0,A6,9,9220,R4,Graphics,640,Alphanumeric,Mid-Range
Acer,Aspire 3,Notebook,15.6,3.0,4,HDD,1024,AMD,Radeon R5,Windows 10,2.1,1568.15,1366,768,0,0,0,0,0,A9,9,9420,Radeon,R5,5,Alphanumeric,Low-End
Dell,Inspiron 7577,Gaming,15.6,2.8,16,SSD+HDD,1152,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.65,5355.530000000001,1920,1080,1,1,0,0,0,Core,7,i7,GeForce,Ti,640,Alphanumeric,Mid-Range
HP,Pavilion 15-CK000nv,Ultrabook,15.6,1.8,8,SSD,256,Nvidia,GeForce GTX 940MX,Windows 10,1.83,2775.03,1920,1080,1,1,0,0,0,Core,8,i7,GeForce,940MX,940,Alphanumeric,High-End
HP,250 G6,Notebook,15.6,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.96,2377.9903,1920,1080,1,0,0,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,2.8,16,SSD+HDD,1152,Nvidia,GeForce GTX 1060,Windows 10,2.2,5752.530000000001,1920,1080,1,1,0,0,0,Core,7,i7,GeForce,1060,1060,Numeric,High-End
Dell,XPS 13,Ultrabook,13.3,1.8,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.21,6546.530000000001,1920,1080,1,1,0,0,0,Core,8,i7,UHD,620,620,Numeric,Mid-Range
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,3.0,8,HDD,1024,AMD,Radeon RX 560,Windows 10,2.45,2775.03,1920,1080,1,0,0,0,0,FX,Unknown,9830,Radeon,560,560,Numeric,Mid-Range
Acer,Aspire 5,Notebook,15.6,1.8,8,HDD,1024,Nvidia,GeForce MX150,Windows 10,2.2,2735.33,1920,1080,1,0,0,0,0,Core,8,i7,GeForce,MX150,150,Alphanumeric,Low-End
HP,Probook 430,Notebook,13.3,1.8,16,SSD,512,Intel,UHD Graphics 620,Windows 10,1.49,4752.09,1920,1080,1,0,0,0,0,Core,8,i7,UHD,620,620,Numeric,Mid-Range
Dell,Inspiron 7577,Gaming,15.6,2.5,8,SSD,256,Nvidia,GeForce GTX 1060,Windows 10,2.65,4744.150000000001,1920,1080,1,0,0,0,0,Core,7,i5,GeForce,1060,1060,Numeric,High-End
Asus,Zenbook UX430UA,Ultrabook,14.0,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.25,4164.530000000001,1920,1080,1,0,0,0,0,Core,7,i7,HD,620,620,Numeric,Mid-Range
Acer,Spin 5,2 in 1 Convertible,13.3,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.5,3362.59,1920,1080,1,1,1,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
Dell,Inspiron 3567,Notebook,15.6,2.7,8,HDD,1024,AMD,Radeon R5 M430,Linux,2.2,2381.603,1920,1080,1,0,0,0,0,Core,7,i7,Radeon,M430,430,Alphanumeric,Low-End
Dell,Inspiron 3567,Notebook,15.6,2.0,4,SSD,256,AMD,Radeon R5 M430,Linux,2.2,1925.45,1920,1080,1,0,0,0,0,Core,6,i3,Radeon,M430,430,Alphanumeric,Low-End
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,2.4,6,SSD,256,Nvidia,GeForce 920M,Windows 10,2.0,2290.69,1920,1080,1,0,0,0,0,Core,7,i3,GeForce,920M,920,Alphanumeric,High-End
HP,Omen 15-ce007nv,Gaming,15.6,2.8,12,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,2.62,4958.530000000001,1920,1080,1,1,0,0,0,Core,7,i7,GeForce,1050,1050,Numeric,High-End
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,2.7,8,SSD,256,AMD,Radeon 530,Windows 10,1.91,2854.4300000000003,1920,1080,1,0,0,0,0,Core,7,i7,Radeon,530,530,Numeric,Mid-Range
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,1.5,4,HDD,500,AMD,Radeon R2,Windows 10,2.1,1385.53,1920,1080,1,0,0,0,0,Unknown,Unknown,9000,Radeon,R2,2,Alphanumeric,Low-End
Dell,Inspiron 3576,Notebook,15.6,1.6,8,HDD,1024,AMD,Radeon 520,Linux,2.2,2568.59,1920,1080,1,0,0,0,0,Core,8,i5,Radeon,520,520,Numeric,Mid-Range
HP,Envy 13-ad009n,Ultrabook,13.3,2.7,8,SSD,256,Nvidia,GeForce MX150,Windows 10,1.38,4442.43,1920,1080,1,1,0,0,0,Core,7,i7,GeForce,MX150,150,Alphanumeric,Low-End
Microsoft,Surface Laptop,Ultrabook,13.5,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10 S,1.252,5319.8,2256,1504,0,0,1,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
HP,Pavilion 14-BK001nv,Notebook,14.0,2.5,6,SSD,256,Nvidia,GeForce 940MX,Windows 10,1.58,2616.23,1920,1080,1,1,0,0,0,Core,7,i5,GeForce,940MX,940,Alphanumeric,High-End
Lenovo,Ideapad 310-15ISK,Notebook,15.6,2.0,4,HDD,1024,Intel,HD Graphics 520,Windows 10,1.85,1647.153,1920,1080,1,0,0,0,0,Core,6,i3,HD,520,520,Numeric,Mid-Range
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,2.7,8,SSD,256,Nvidia,GeForce 940MX,Windows 10,1.3,4736.21,1920,1080,1,1,0,0,0,Core,7,i7,GeForce,940MX,940,Alphanumeric,High-End
MSI,GP62M 7REX,Gaming,15.6,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.2,5157.030000000001,1920,1080,1,0,0,0,0,Core,7,i7,GeForce,Ti,640,Alphanumeric,Mid-Range
Lenovo,Thinkpad T470,Notebook,14.0,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.58,5875.6,1920,1080,1,1,0,0,0,Core,7,i7,HD,620,620,Numeric,Mid-Range
Asus,VivoBook S15,Ultrabook,15.6,1.8,16,SSD+HDD,1280,Nvidia,GeForce MX150,Windows 10,1.5,5010.14,1920,1080,1,0,0,0,0,Core,8,i7,GeForce,MX150,150,Alphanumeric,Low-End
Dell,XPS 13,Ultrabook,13.3,2.4,8,SSD,256,Intel,Iris Plus Graphics 640,Windows 10,1.23,5474.63,3200,1800,1,0,1,0,1,Core,7,i7,Iris,640,640,Numeric,Mid-Range
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.37,5554.030000000001,1920,1080,1,1,1,0,0,Core,7,i5,HD,620,620,Numeric,Mid-Range
HP,Probook 440,Notebook,14.0,1.6,4,HDD,500,Intel,UHD Graphics 620,Windows 10,1.63,2866.34,1366,768,0,1,0,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
Dell,XPS 13,Ultrabook,13.3,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.21,6467.13,1920,1080,1,1,0,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
HP,Spectre x360,2 in 1 Convertible,13.3,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.26,5553.9903,1920,1080,1,1,1,0,0,Core,8,i5,UHD,620,620,Numeric,Mid-Range
HP,Probook 440,Notebook,14.0,1.8,8,SSD,512,Intel,UHD Graphics 620,Windows 10,1.63,4303.4800000000005,1920,1080,1,0,0,0,0,Core,8,i7,UHD,620,620,Numeric,Mid-Range
Dell,Inspiron 7570,Notebook,15.6,1.8,8,SSD+HDD,1280,Nvidia,GeForce 940MX,Windows 10,2.16,4487.4101,1920,1080,1,1,0,0,0,Core,8,i7,GeForce,940MX,940,Alphanumeric,High-End
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,2.0,4,HDD,1024,Nvidia,GeForce 920MX,Windows 10,2.0,2239.08,1920,1080,1,0,0,0,0,Core,6,i3,GeForce,920MX,920,Alphanumeric,High-End
